,# src,RA(deg),err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
73,73,9.92088307615,0.0034267965503,-32.5726670125,0.0078591536565,0.345805318511,0.0450779482499
74,74,29.1934807425,0.0054601226143,-30.7533136206,0.0093034453477,0.130771908289,0.0224675083046
75,75,32.6104838906,0.0032627948931,-25.7960558866,0.0035178375038,0.218063475787,0.0194214053518
76,76,37.5272369029,0.0045727871672,-21.2433789996,0.0057039225181,0.23796072148,0.0251069311749
77,77,25.4849762334,0.0035128818216,-24.8235810659,0.004096222874,0.172160313279,0.0192390779708
78,78,13.8033830451,0.0030733149421,-17.7341966687,0.0030994563412,0.514501646225,0.03014025283
79,79,24.402321042,0.0057093077395,-20.6904042309,0.0068436923456,0.157081445023,0.0201411894464
80,80,14.5493509364,0.0052164064759,-24.5790459112,0.0067067515902,0.164706422001,0.0269122923097
81,81,23.2433105275,0.0035421576195,-35.3668813164,0.0048460021784,0.367586055384,0.0329250939962
82,82,16.7251116521,0.0030725563542,-33.7537265219,0.0072462294313,0.273201631585,0.0379231348221
83,83,36.2965252371,0.0028428164691,-35.9386526571,0.0036211712338,0.54327072411,0.0407339289447
84,84,35.4031036359,0.0033279235085,-18.360423953,0.0047474049309,0.277503441554,0.0243355186165
85,85,23.2854900817,0.0041702416773,-37.6038953767,0.0057201006673,0.425300095598,0.041718671118
86,86,22.8378044916,0.0047725884095,-38.2445139696,0.0080946726217,0.268823706165,0.0511312417749
87,87,21.8474242481,0.006333911821,-26.1556797048,0.0072979505804,0.120881970387,0.0206118932398
88,88,7.83586618905,0.0095614701706,-26.6587416627,0.0108212015488,0.215100668335,0.0431883461448
89,89,27.9965410488,0.0035098666494,-26.074610519,0.0044082398683,0.230411839662,0.0185849121281
90,90,28.0599298061,0.0055504412593,-16.6391957746,0.0082913734331,0.185849651864,0.0249590523841
91,91,37.7837260937,0.001508348816,-24.4874863426,0.0019684686069,0.541076853278,0.0247229691513
92,92,8.99276909819,0.0024413782047,-26.4637026384,0.0052750531852,0.447769510161,0.0369347120975
93,93,19.5533002369,0.0027409866076,-12.0515949264,0.0037107111021,0.533512826751,0.0358450010045
94,94,21.3023769724,0.0045162651793,-17.9893758152,0.0055564706287,0.176739202507,0.0212970463159
95,95,31.1287704454,0.0008597584647,-21.3277625888,0.0011937530587,0.695547284553,0.0187160989861
96,96,34.761086433,0.002902253074,-19.2916846087,0.0050194412529,0.252387940053,0.022483999006
97,97,7.47645346556,0.001437325909,-17.6641714401,0.0019930656655,1.19250953904,0.0466713385155
98,98,36.6381134931,0.0055265230822,-26.4802410979,0.012408391453,0.117327647468,0.0236952412899
99,99,16.3060190918,0.0132180082436,-33.9303256697,0.0132966997664,0.259376633719,0.0344074591797
100,100,12.9498262626,0.0065431355762,-10.9578749464,0.0095748972505,0.397741404894,0.05307130782
101,101,27.0471239768,0.000563933723,-18.5689726588,0.0007970027309,1.27202608058,0.0216531176765
102,102,13.2278282633,0.0095652057609,-23.7578155808,0.0114613595583,0.212809933184,0.0307614939035
103,103,40.6806694561,0.002278362961,-18.7992125774,0.0029397352363,0.538399452883,0.0395116312755
104,104,26.7842075258,0.0029144769514,-29.1633310218,0.0097123589822,0.106227300307,0.0181281610605
105,105,19.206687917,0.0054100053,-25.1749286226,0.0088464051396,0.119941361295,0.0214061573204
106,106,33.6279074324,0.0069411129473,-24.2974211494,0.0091679115958,0.137262567449,0.0187913686993
107,107,30.2954611655,0.0062059925371,-19.8904746983,0.0088429669099,0.107724056127,0.0170474517166
108,108,11.8380660802,0.0081098495573,-13.3055840638,0.0088784930165,0.316520935204,0.0420372886665
109,109,39.9770174219,0.0007639385041,-26.8422899255,0.0008662175448,1.38324058425,0.034956217542
110,110,35.5453512311,0.0052849596456,-26.0457747544,0.0072022969883,0.147415622555,0.0238229003684
111,111,35.8053425319,0.001743813114,-28.4343606664,0.0024816575003,0.454893752809,0.0249548809142
112,112,38.4623478333,0.0057985345828,-31.0506775562,0.0087723855648,0.218566058997,0.0332852446836
113,113,35.6062634043,0.0016671922127,-32.6417789977,0.0024594952439,0.569988678919,0.0297691919373
114,114,37.3128440484,0.0027846155531,-26.3303534368,0.0035447735687,0.333983886275,0.0266280410354
115,115,31.1470100888,0.0040842306395,-19.7048166249,0.0106583324734,0.0775062137679,0.0224162477172
116,116,31.3812001782,0.0019354677817,-19.8662838601,0.004784838333,0.279867570907,0.0158660687229
117,117,17.2421662439,0.0057977589928,-13.3986963206,0.0108237240652,0.187291316355,0.0334164181688
118,118,33.6258858294,0.0007800784047,-25.9706149179,0.0010545108615,0.84680246287,0.021568449014
119,119,29.1520321873,0.0001732794019,-36.2931917775,0.0002689213902,5.81641014959,0.0385160354908
120,120,31.2754664514,0.0016844760527,-24.1885559139,0.0036230927767,0.303953409926,0.0204705286044
121,121,36.1378175104,0.0042597636103,-27.2703025732,0.0065757945166,0.180125052878,0.0221832747308
122,122,38.6949622068,0.0064902482477,-25.4060489636,0.0118633890562,0.151249243805,0.0259503562918
123,123,24.3650940919,0.0017766619662,-9.52917056387,0.002342036818,0.897196944304,0.0472344330908
124,124,30.5845456813,0.0031952303001,-25.953732307,0.0047883759951,0.154363769588,0.016942697002
125,125,13.2198252485,0.0100777413532,-28.4191070829,0.0100476767005,0.210450047546,0.0234476640406
126,126,28.133657021,0.0035272636449,-23.8258912804,0.0058370052305,0.166288192038,0.0184856064876
127,127,12.6562176994,0.0098263077559,-9.50492542568,0.0080796154368,0.55219716204,0.0610928895574
128,128,30.2512206296,0.0035653345666,-24.6169284687,0.004841343814,0.175237199415,0.0175112393891
129,129,39.914546957,0.0040529455921,-15.5611373647,0.0063662451387,0.386607801482,0.0463337298703
130,130,27.1816538841,0.0035616717977,-33.0615681526,0.0045421480477,0.251203307776,0.0271086131329
131,131,29.2501006038,0.0076141611139,-11.9612215175,0.014041322646,0.187100717697,0.0354954176358
132,132,27.9563133841,0.0040833526911,-16.7401166489,0.0092355293504,0.17268569377,0.0211315534156
133,133,20.6240136111,0.0014884068862,-35.7909409561,0.0025366483652,0.611390757416,0.0403833965449
134,134,30.6293579708,0.0019489398172,-13.2298729841,0.0023069902047,0.620376075638,0.0337210089414
135,135,15.0314697054,0.0007832842569,-13.878795195,0.0010484169351,1.7834857439,0.0352132860169
136,136,19.1487773341,0.0053519739588,-30.0809620606,0.0070600199816,0.178880139003,0.0231313344607
137,137,29.9831007205,0.0013551029485,-19.0987963404,0.0018366844544,0.551340374499,0.0188079272311
138,138,39.1170943827,0.0034250567636,-29.9142958015,0.0044109213339,0.300569360487,0.0323727363658
139,139,37.0120265086,0.0023034506828,-24.4851497107,0.002532579054,0.324258845454,0.0229145989282
140,140,39.5221440558,0.0069452054928,-21.63431779,0.0063657030575,0.245418567129,0.0327120988549
141,141,26.3067666095,0.0026313154163,-28.414298425,0.0055123245629,0.132947213157,0.0187654987826
142,142,34.736882726,0.0023562307102,-35.4192511762,0.0029001153776,0.533012445297,0.0356257960598
143,143,35.0455997976,0.00708094082,-17.7348340062,0.006539805146,0.145263287977,0.0254630766288
144,144,23.9683066046,0.0019637241136,-36.7536455745,0.0027631482605,0.691185031354,0.0418944036125
145,145,26.4185818215,0.0062770802229,-25.2450488642,0.0090252704224,0.0745707666865,0.0166094814709
146,146,17.0409763458,0.0029877483856,-21.6625145816,0.0039512817178,0.319394519467,0.022621259419
147,147,24.4967369842,0.0078738027051,-28.0737847503,0.0128117662186,0.084993756209,0.019533756427
148,148,10.4616451244,0.0012953086964,-23.7366630705,0.0019586228777,0.835742540302,0.0294855333847
149,149,6.73526213804,0.0043947518656,-28.6238481083,0.0084927808088,0.244580688345,0.0459421905478
150,150,22.9132135578,0.0042972922637,-20.4663226145,0.0052584714467,0.196675189819,0.0187306719541
151,151,37.4767943555,0.0067978103949,-22.7145062125,0.0087436725042,0.157660060698,0.0247401068208
152,152,22.7277367685,0.002521185308,-13.6691997154,0.0030417792235,0.462890074534,0.0280524601198
153,153,38.0703753433,0.0011843856431,-33.7777096672,0.001610297584,1.02752213456,0.0404863140441
154,154,40.0468751317,0.0064292313055,-31.1668879152,0.0078649134196,0.236283333551,0.0401648851106
155,155,27.0015254127,0.0042597400963,-26.5336021986,0.0051819257001,0.155059638495,0.0166320126301
156,156,22.4698828405,0.0006032419026,-32.3351306265,0.0008110735337,1.23126351642,0.0233854544448
157,157,17.5841039694,0.0009734080542,-36.4336141763,0.0017005311922,1.11585095008,0.0499078309292
158,158,32.5755577384,0.0002686540894,-11.0156856821,0.000358652854,6.33519015136,0.0473711372396
159,159,18.6684154779,0.0035697706846,-20.2585607713,0.0053846198001,0.179460995323,0.0241736649882
160,160,22.9492360708,0.004512623009,-31.3364364744,0.0057639900083,0.191955337184,0.0235879015462
161,161,23.4597595467,0.0050461047825,-19.8474768747,0.0057794753584,0.172940381878,0.0198835824856
162,162,20.412774823,0.005965866237,-37.7483491951,0.0128495218402,0.300007767235,0.0530824043352
163,163,21.3317028998,0.0082887740793,-24.8559701062,0.0073946585842,0.103990681873,0.0189920046644
164,164,27.8782060381,0.0013040064592,-22.9752712529,0.0019410413098,0.401702955851,0.0176053624614
165,165,41.1818091638,0.0081586393421,-18.1630240175,0.0111353353582,0.245880958751,0.0436781594241
166,166,22.9610395595,0.0079675331792,-34.527745597,0.008566331188,0.121043757656,0.0298396834222
167,167,31.942517978,0.0060315593387,-21.1838867947,0.0066716673521,0.127880304197,0.0204796219026
168,168,24.007918836,0.0058298427079,-29.4439013723,0.0096763712416,0.115556617568,0.0204157689888
169,169,7.91901292436,0.0012842748886,-26.4447013575,0.0019541661597,0.91791927038,0.0357860660573
